6075, ACCT 2102  011, Main,3, Managerial Accounting, MondaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Alter Hall Room: 0A033 Start Date: 01 13 2020 End Date: 05 06 2020, 7   27 of 50 seats remain 100 of 100 waitlist seats remain, Carl Shelow  Primary, 
34995, ACCT 2102  012, Main,3, Managerial Accounting, TuesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Alter Hall Room: 0A033 Start Date: 01 13 2020 End Date: 05 06 2020, FULL: 0 of 50 seats remain  96 of 100 waitlist seats remain, Barbara Su  Primary, 
11679, ACCT 2102  401, Center City,3, Managerial Accounting, MondaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: TUCC 1515 Market Street Room: 00520 Start Date: 01 13 2020 End Date: 05 06 2020, 7   24 of 40 seats remain 100 of 100 waitlist seats remain, Elliott A  Roth  Primary, 
22497, ACCT 2102  730, Main,3, Managerial Accounting, MondaySMTWTFS07:00  PM   08:55  PM Type:  Virtual mtg of online course Building: Online Room   Place Holder Room: CLSRM Start Date: 01 13 2020 End Date: 05 06 2020, 7   31 of 40 seats remain 100 of 100 waitlist seats remain, CHRISTIAN E  WURST Jr   Primary, 
40814, ACCT 2102  801, Japan,3, Managerial Accounting, Tuesday ThursdaySMTWTFS01:40  PM   03:10  PM Type:  Class Building: Temple Japan Main Building Room: 00403 Start Date: 01 14 2020 End Date: 04 22 2020, 7   19 of 48 seats remain 100 of 100 waitlist seats remain, David M  Sigaty  Primary, 
36814, ACCT 2501  001, Main,3, Survey of Accounting, Tuesday ThursdaySMTWTFS12:30  PM   01:50  PM Type:  Class Building: Speakman Hall Room: 00012 Start Date: 01 13 2020 End Date: 05 06 2020, FULL: 0 of 50 seats remain  91 of 100 waitlist seats remain, Jose E  Munoz  Jr   Primary, 
38565, ACCT 2501  002, Main,3, Survey of Accounting, Tuesday ThursdaySMTWTFS08:00  AM   09:20  AM Type:  Class Building: Speakman Hall Room: 00213 Start Date: 01 13 2020 End Date: 05 06 2020, 7   18 of 50 seats remain 100 of 100 waitlist seats remain, Christian E  Wurst III  Primary, 
40017, ACCT 2501  701r, Main,3, Survey of Accountingr, TuesdaySMTWTFS07:00  PM   08:55  PM Type:  Virtual mtg of online course Building: Online Room   Place Holder Room: CLSRM Start Date: 01 13 2020 End Date: 05 06 2020r, 7   18 of 60 seats remain 100 of 100 waitlist seats remain r, CHRISTIAN E  WURST Jr   Primary  r,
6132, ACCT 2521  001r, Main,3, Cost Accountingr, Monday Wednesday FridaySMTWTFS01:00  PM   01:50  PM Type:  Class Building: Speakman Hall Room: 00112 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 40 seats remain  96 of 100 waitlist seats remain r, Flaxman Judith  Primary  r,
10863, ACCT 2521  002r, Main,3, Cost Accountingr, Monday Wednesday FridaySMTWTFS02:00  PM   02:50  PM Type:  Class Building: Speakman Hall Room: 00112 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 40 seats remain  98 of 100 waitlist seats remain r, Flaxman Judith  Primary  r,
7481, ACCT 2521  003r, Main,3, Cost Accountingr, TuesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Wachman Hall Room: 00015 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 40 seats remain  100 of 100 waitlist seats remain r, Vinesh K  Mathew  Primary  r,
8505, ACCT 2521  004r, Main,3, Cost Accountingr, WednesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Speakman Hall Room: 00212 Start Date: 01 13 2020 End Date: 05 06 2020r0, 7   27 of 40 seats remain 100 of 100 waitlist seats remain r1   h,NA,
31628, ACCT 2521  005r6, Main,3, Cost Accountingr9, TuesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Alter Hall Room: 0A239 Start Date: 01 13 2020 End Date: 05 06 2020r:, 7   24 of 40 seats remain 100 of 100 waitlist seats remain r, Jayanthi Krishnan  Primary  r,
35815, ACCT 2901  001rA, Main,3, Honors Financial AccountingrD, Tuesday ThursdaySMTWTFS02:00  PM   03:20  PM Type:  Class Building: Alter Hall Room: 0A234 Start Date: 01 13 2020 End Date: 05 06 2020rE, FULL: 0 of 30 seats remain  95 of 100 waitlist seats remain rF, Mary A  Gaffney  Primary  rG, 
28245, ACCT 2902  001rM, Main,3, Honors Managerial AccountingrP, Tuesday ThursdaySMTWTFS08:00  AM   09:20  AM Type:  Class Building: Speakman Hall Room: 00114 Start Date: 01 13 2020 End Date: 05 06 2020rQ, 7   18 of 30 seats remain 100 of 100 waitlist seats remain rR, Mary A  Gaffney  Primary  rS, 
6134, ACCT 2902  002rY, Main,3, Honors Managerial Accountingr, Tuesday ThursdaySMTWTFS12:30  PM   01:50  PM Type:  Class Building: Alter Hall Room: 0A234 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 25 seats remain  100 of 100 waitlist seats remain r^, Mary A  Gaffney  Primary  r, 
6135, ACCT 3511  001re, Main,3, Intermediate Accounting Irh, Tuesday ThursdaySMTWTFS11:00  AM   12:20  PM Type:  Class Building: Alter Hall Room: 0A035 Start Date: 01 13 2020 End Date: 05 06 2020ri, FULL: 0 of 45 seats remain  99 of 100 waitlist seats remain rj, Elizabeth Gordon  Primary  rk,
24718, ACCT 3511  002rp, Main,3, Intermediate Accounting Irs, Tuesday ThursdaySMTWTFS09:30  AM   10:50  AM Type:  Class Building: Alter Hall Room: 0A033 Start Date: 01 13 2020 End Date: 05 06 2020rt, 6   3 of 45 seats remain 100 of 100 waitlist seats remain ru, Elizabeth Gordon  Primary  rv,
6136, ACCT 3511  003r, Main,3, Intermediate Accounting Ir, MondaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Alter Hall Room: 0A606 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   19 of 45 seats remain 100 of 100 waitlist seats remain r, Jonathan C  Reiter  Primary  r,
25379, ACCT 3511  730r, Main,3, Intermediate Accounting Ir, MondaySMTWTFS08:00  PM   09:55  PM Type:  Virtual mtg of online course Building: Online Room   Place Holder Room: CLSRM Start Date: 01 13 2020 End Date: 03 09 2020r, 7   33 of 40 seats remain 100 of 100 waitlist seats remain r, Marco J  Malandra  Primary  r,
24719, ACCT 3512  001r, Main,3, Intermediate Accounting IIr, Tuesday ThursdaySMTWTFS03:30  PM   04:50  PM Type:  Class Building: Alter Hall Room: 0A034 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   34 of 60 seats remain 100 of 100 waitlist seats remain r, Marco J  Malandra  Primary  r,
6139, ACCT 3512  002r, Main,3, Intermediate Accounting IIr, Tuesday ThursdaySMTWTFS11:00  AM   12:20  PM Type:  Class Building: Alter Hall Room: 0A033 Start Date: 01 13 2020 End Date: 05 06 2020r, 6   1 of 60 seats remain 100 of 100 waitlist seats remain r, Marco J  Malandra  Primary  r,
6141, ACCT 3512  401r, Center City,3, Intermediate Accounting IIr, WednesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: TUCC 1515 Market Street Room: 00622 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   18 of 45 seats remain 100 of 100 waitlist seats remain r, David Heier  Primary  r,
35816, ACCT 3512  730r, Main,3, Intermediate Accounting IIr, MondaySMTWTFS08:00  PM   09:55  PM Type:  Virtual mtg of online course Building: Online Room   Place Holder Room: CLSRM Start Date: 03 10 2020 End Date: 04 27 2020r, 7   32 of 40 seats remain 100 of 100 waitlist seats remain r, Marco J  Malandra  Primary  r,
38590, ACCT 3526  001r, Main,3, Accounting Information Systemsr, MondaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Alter Hall Room: 0A231 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 50 seats remain  91 of 100 waitlist seats remain r, Hilal Atasoy  Primary  r,
8506, ACCT 3526  102r, Ambler,3, Accounting Information Systemsr, MondaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Ambler   Learning Center Room: 00307 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   32 of 40 seats remain 100 of 100 waitlist seats remain r, Christian E  Wurst III  Primary  r,
18451r, ACCT 3526  401r, Center Cityr,3, Accounting Information Systemsr, TuesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: TUCC 1515 Market Street Room: 00413 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   12 of 40 seats remain 100 of 100 waitlist seats remain r, Michael A  Geiger  Primary  r,
27275r, ACCT 3526  730r, Main,3, Accounting Information Systemsr, WednesdaySMTWTFS07:00  PM   07:55  PM Type:  Virtual mtg of online course Building: Online Room   Place Holder Room: CLSRM Start Date: 01 13 2020 End Date: 05 06 2020r, 7   37 of 40 seats remain 100 of 100 waitlist seats remain r, Hilal Atasoy  Primary  r,
6143r, ACCT 3531  001r, Main,3, Federal Taxes on Incomer, Monday Wednesday FridaySMTWTFS11:00  AM   11:50  AM Type:  Class Building: Alter Hall Room: 0A234 Start Date: 01 13 2020 End Date: 05 06 2020r, 6   4 of 40 seats remain 100 of 100 waitlist seats remain r, Wayne W  Williams  Primary  r,
7466r, ACCT 3531  002r, Main,3, Federal Taxes on Incomer, Monday Wednesday FridaySMTWTFS10:00  AM   10:50  AM Type:  Class Building: Alter Hall Room: 0A234 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   13 of 40 seats remain 100 of 100 waitlist seats remain r, Wayne W  Williams  Primary  r,
6144r, ACCT 3531  401r, Center Cityr,3, Federal Taxes on Incomer, WednesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: TUCC 1515 Market Street Room: 00422 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   21 of 40 seats remain 100 of 100 waitlist seats remain r, Ronald A  Unger  Primary  r,
25381r, ACCT 3531  730r, Main,3, Federal Taxes on Incomer, TuesdaySMTWTFS08:00  PM   08:55  PM Type:  Virtual mtg of online course Building: Online Room   Place Holder Room: CLSRM Start Date: 01 13 2020 End Date: 05 06 2020r, 7   39 of 40 seats remain 100 of 100 waitlist seats remain r, Wayne W  Williams  Primary  r,
6145r, ACCT 3533  001r, Main,3, Advanced Accountingr, Tuesday ThursdaySMTWTFS02:00  PM   03:20  PM Type:  Class Building: Alter Hall Room: 0A238 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 50 seats remain  94 of 100 waitlist seats remain r, David Jones  Primary  r,
10864r, ACCT 3533  002r, Main,3, Advanced Accountingr, Tuesday ThursdaySMTWTFS03:30  PM   04:50  PM Type:  Class Building: Alter Hall Room: 0A238 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 50 seats remain  100 of 100 waitlist seats remain r, David Jones  Primary  r,
22652r, ACCT 3533  730r, Main,3, Advanced Accountingr, ThursdaySMTWTFS08:00  PM   08:55  PM Type:  Virtual mtg of online course Building: Online Room   Place Holder Room: CLSRM Start Date: 01 13 2020 End Date: 05 06 2020r, 7   32 of 40 seats remain 100 of 100 waitlist seats remain r0, David Jones  Primary  r1,
20802r5, ACCT 3581  001r6, Main,3, Co operative Experience in Accountingr9, m   NoneSMTWTFS    Type:  Non class meeting Building: None Room: None Start Date: 01 13 2020 End Date: 05 06 2020r:, 7   11 of 20 seats remain 100 of 100 waitlist seats remain r, Cory Ng  Primary  r,
6078r, ACCT 3581  101rA, AmblerrB,3, Co operative Experience in AccountingrD, SaturdaySMTWTFS09:00  AM   05:00  PM Type:  Class Building: Arranged Room Room: 00000 Start Date: 01 18 2020 End Date: 02 01 2020SaturdaySMTWTFS11:30  AM   05:00  PM Type:  Class Building: Arranged Room Room: 00000 Start Date: 02 08 2020 End Date: 04 11 2020rE, 6   9 of 20 seats remain 100 of 100 waitlist seats remain rF, Steven Balsam  Primary  rG,
6146rK, ACCT 3596  001rL, Main,3, AuditingrO, Monday Wednesday FridaySMTWTFS10:00  AM   10:50  AM Type:  Class Building: Alter Hall Room: 0A238 Start Date: 01 13 2020 End Date: 05 06 2020rP, FULL: 0 of 20 seats remain  100 of 100 waitlist seats remain rQ, Sheri Risler  Primary  rR, 
6147rW, ACCT 3596  002r, Main,3, Auditingr, Monday Wednesday FridaySMTWTFS11:00  AM   11:50  AM Type:  Class Building: Alter Hall Room: 0A238 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 20 seats remain  97 of 100 waitlist seats remain r, Sheri Risler  Primary  r^, 
6148rc, ACCT 3596  003rd, Main,3, Auditingrg, TuesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Alter Hall Room: 0A606 Start Date: 01 13 2020 End Date: 05 06 2020rh, FULL: 0 of 20 seats remain  98 of 100 waitlist seats remain ri, Lee Anne S  Douglas  Primary  rj, 
20866ro, ACCT 3596  004rp, Main,3, Auditingrs, ThursdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Alter Hall Room: 0A607 Start Date: 01 13 2020 End Date: 05 06 2020rt, FULL: 0 of 20 seats remain  100 of 100 waitlist seats remain ru, Wayne W  Williams  Primary  rv, 
6149r, ACCT 3596  401r, Center Cityr,3, Auditingr, TuesdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: TUCC 1515 Market Street Room: 00610 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   12 of 20 seats remain 100 of 100 waitlist seats remain r, Elliott A  Roth  Primary  r, 
11672r, ACCT 4501  001r, Main,3, Accounting Senior Seminarr, Tuesday ThursdaySMTWTFS08:00  AM   09:20  AM Type:  Class Building: Alter Hall Room: 0A238 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   11 of 45 seats remain 100 of 100 waitlist seats remain r, Cory Ng  Primary  r,
19382r, ACCT 4501  003r, Main,3, Accounting Senior Seminarr, Tuesday ThursdaySMTWTFS12:30  PM   01:50  PM Type:  Class Building: Alter Hall Room: 0A034 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 45 seats remain  94 of 100 waitlist seats remain r, Cory Ng  Primary  r,
19381r, ACCT 4501  101r, Amblerr,3, Accounting Senior Seminarr, ThursdaySMTWTFS05:30  PM   08:00  PM Type:  Class Building: Ambler   Learning Center Room: 00303 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   20 of 40 seats remain 100 of 100 waitlist seats remain r, Michael A  Geiger  Primary  r,
34994r, ACCT 4501  730r, Main,3, Accounting Senior Seminarr, TuesdaySMTWTFS07:00  PM   07:55  PM Type:  Virtual mtg of online course Building: Online Room   Place Holder Room: CLSRM Start Date: 01 13 2020 End Date: 05 06 2020r, 7   31 of 40 seats remain 100 of 100 waitlist seats remain r, Cory Ng  Primary  r,
42008r, ACCT 4502  001r, Main,3, Senior Seminar   Management Accountingr, Tuesday ThursdaySMTWTFS02:00  PM   03:20  PM Type:  Class Building: Alter Hall Room: 0A033 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   45 of 50 seats remain 100 of 100 waitlist seats remain r, A J  Kreimer  Primary  r,
35277r, ACCT 5001  401r, Center Cityr,3, Accounting for Managerial and Investment Analysis and Planningr, TuesdaySMTWTFS06:00  PM   09:00  PM Type:  Class Building: TUCC 1515 Market Street Room: 00421 Start Date: 01 21 2020 End Date: 04 17 2020NoneSMTWTFS    Type:  Non class meeting Building: None Room: None Start Date: 01 21 2020 End Date: 04 27 2020r, 7   31 of 55 seats remain 100 of 100 waitlist seats remain r, Jose E  Munoz  Jr   Primary  r, 
35279r, ACCT 5001  740r, Main,3, Accounting for Managerial and Investment Analysis and Planningr, ThursdaySMTWTFS08:00  PM   10:00  PM Type:  Virtual mtg of online course Building: Online Room   Place Holder Room: CLSRM Start Date: 01 13 2020 End Date: 02 14 2020r, 7   38 of 55 seats remain 100 of 100 waitlist seats remain r, CHRISTIAN E  WURST Jr   Primary  r, 
40016r, ACCT 5182  001r, Main,3, Independent Studyr, m   NoneSMTWTFS    Type:  Non class meeting Building: None Room: None Start Date: 01 13 2020 End Date: 05 06 2020r, 5   2 of 2 seats remain 100 of 100 waitlist seats remain r, Sheri Risler  Primary  r,
41576r, ACCT 9090  001r, Main,3, Topic: Auditing and Governancer, TuesdaySMTWTFS02:00  PM   05:00  PM Type:  Class Building: Alter Hall Room: 0A404 Start Date: 01 13 2020 End Date: 05 06 2020r, 6   9 of 10 seats remain 100 of 100 waitlist seats remain r, Jagan  Krish  Krishnan  Primary  r,
41645r, ACCT 9090  002r, Mainr,3, Topic: Managerial Accounting Researchr, ThursdaySMTWTFS03:00  PM   07:00  PM Type:  Class Building: Alter Hall Room: 0A235 Start Date: 01 13 2020 End Date: 05 06 2020r, 5   4 of 5 seats remain 100 of 100 waitlist seats remain r, Rajiv Banker  Primary  r,
8062r, AS 1501  001r, Mainr,3, Actuarial Probability and Statistics Ir, Monday Wednesday FridaySMTWTFS11:00  AM   11:50  AM Type:  Class Building: Alter Hall Room: 0A233 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 25 seats remain  99 of 100 waitlist seats remain r, Krupa S  Viswanathan  Primary  r,
30741r, AS 1501  002r, Mainr,3, Actuarial Probability and Statistics Ir, Monday Wednesday FridaySMTWTFS10:00  AM   10:50  AM Type:  Class Building: Alter Hall Room: 0A233 Start Date: 01 13 2020 End Date: 05 06 2020r, 6   4 of 25 seats remain 100 of 100 waitlist seats remain r, Krupa S  Viswanathan  Primary  r,
8063r, AS 2101  001r, Mainr,3, Actuarial Probability and Statistics IIr, Monday Wednesday FridaySMTWTFS01:00  PM   01:50  PM Type:  Class Building: Alter Hall Room: 0A032 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   10 of 40 seats remain 100 of 100 waitlist seats remain r, Jeffrey Zheng  Primary  r,
8065r, AS 2502  001r, Mainr,3, Theory of Interestr, Tuesday ThursdaySMTWTFS03:30  PM   04:50  PM Type:  Class Building: Alter Hall Room: 0A606 Start Date: 01 13 2020 End Date: 05 06 2020r, 8   14 of 35 seats remain  100 of 100 waitlist seats remain r, Thorsten Moenig  Primary  r,
8178r, AS 2503  001r, Mainr,3, Corporate Finance for Actuarial Sciencer, Monday Wednesday FridaySMTWTFS09:00  AM   09:50  AM Type:  Class Building: Alter Hall Room: 0A233 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 35 seats remain  95 of 100 waitlist seats remain r, Tim Luedtke  Primary  r,
8066r, AS 3501  001r, Mainr0,3, Actuarial Modeling Ir2, Tuesday ThursdaySMTWTFS09:30  AM   10:50  AM Type:  Class Building: Alter Hall Room: 0A035 Start Date: 01 13 2020 End Date: 05 06 2020r3, FULL: 0 of 35 seats remain  98 of 100 waitlist seats remain r4, Tianxiang Shi  Primary  r5,
8067r9, AS 3502  001r:, Mainr,3, Actuarial Modeling IIr, Monday Wednesday FridaySMTWTFS02:00  PM   02:50  PM Type:  Class Building: Alter Hall Room: 0A032 Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 25 seats remain  93 of 100 waitlist seats remain r, Jeffrey Zheng  Primary  r,
8068rD, AS 3503  001rE, MainrF,3, Actuarial Modeling IIIrH, Tuesday ThursdaySMTWTFS02:00  PM   03:20  PM Type:  Class Building: Alter Hall Room: 0A606 Start Date: 01 13 2020 End Date: 05 06 2020rI, 7   7 of 10 seats remain  100 of 100 waitlist seats remain rJ, Tianxiang Shi  Primary  rK,
39286rO, AS 3504  001rP, MainrQ,3, Actuarial AnalyticsrS, Monday Wednesday FridaySMTWTFS03:00  PM   03:50  PM Type:  Class Building: Alter Hall Room: 0A032 Start Date: 01 13 2020 End Date: 05 06 2020rT, 7   4 of 30 seats remain  100 of 100 waitlist seats remain rU, Jeffrey Zheng  Primary  rV, 
8069rZ, AS 3596  001r, Mainr,3, Actuarial Practice: Property and Liabilityr^, Monday WednesdaySMTWTFS04:00  PM   05:20  PM Type:  Class Building: Alter Hall Room: 0A605 Start Date: 01 13 2020 End Date: 05 06 2020r, 6   3 of 20 seats remain 100 of 100 waitlist seats remain r, Jim Hilliard  Primary  ra, 
36713rf, AS 3597  001rg, Mainrh,3, Actuarial Practice: Group   Health Benefitsrj, Monday Wednesday FridaySMTWTFS11:00  AM   11:50  AM Type:  Class Building: Alter Hall Room: 0A605 Start Date: 01 13 2020 End Date: 05 06 2020rk, 6   1 of 20 seats remain 100 of 100 waitlist seats remain rl, Tim Luedtke  Primary  rm, 
30744rr, AS 5101  002rs, Mainrt,3, Theory of Interestrv, Tuesday ThursdaySMTWTFS03:30  PM   04:50  PM Type:  Class Building: Alter Hall Room: 0A606 Start Date: 01 13 2020 End Date: 05 06 2020rw, 7   8 of 10 seats remain  100 of 100 waitlist seats remain rx, Thorsten Moenig  Primary  ry,
6387r, AS 5102  001r, Mainr,3, Actuarial Modeling Ir, Tuesday ThursdaySMTWTFS09:30  AM   10:50  AM Type:  Class Building: Alter Hall Room: 0A035 Start Date: 01 13 2020 End Date: 05 06 2020r, 8   14 of 15 seats remain  100 of 100 waitlist seats remain r, Tianxiang Shi  Primary  r,
7070r, AS 5103  001r, Mainr,3, Actuarial Modeling IIr, Monday Wednesday FridaySMTWTFS02:00  PM   02:50  PM Type:  Class Building: Alter Hall Room: 0A032 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   9 of 10 seats remain  100 of 100 waitlist seats remain r, Jeffrey Zheng  Primary  r,
6388r, AS 5104  001r, Mainr,3, Actuarial Modeling IIIr, Tuesday ThursdaySMTWTFS02:00  PM   03:20  PM Type:  Class Building: Alter Hall Room: 0A606 Start Date: 01 13 2020 End Date: 05 06 2020r, 8   27 of 30 seats remain  100 of 100 waitlist seats remain r, Tianxiang Shi  Primary  r,
12230r, AS 5106  001r, Mainr,3, Actuarial Corporate Financer, Monday Wednesday FridaySMTWTFS09:00  AM   09:50  AM Type:  Class Building: Alter Hall Room: 0A233 Start Date: 01 13 2020 End Date: 05 06 2020r, 8   15 of 15 seats remain  100 of 100 waitlist seats remain r, Tim Luedtke  Primary  r,
39287r, AS 5108  001r, Mainr,3, Actuarial Analyticsr, Monday Wednesday FridaySMTWTFS03:00  PM   03:50  PM Type:  Class Building: Alter Hall Room: 0A032 Start Date: 01 13 2020 End Date: 05 06 2020r, 7   8 of 10 seats remain  100 of 100 waitlist seats remain r, Jeffrey Zheng  Primary  r,
32050r, AS 5182  001r, Mainr,3, Independent Studyr, m   NoneSMTWTFS    Type:  Non class meeting Building: None Room: None Start Date: 01 13 2020 End Date: 05 06 2020r, 5   1 of 1 seats remain 100 of 100 waitlist seats remain r, Krupa S  Viswanathan  Primary  r,
32051r, AS 5182  002r, Mainr,3, Independent Studyr, m   NoneSMTWTFS    Type:  Non class meeting Building: None Room: None Start Date: 01 13 2020 End Date: 05 06 2020r, FULL: 0 of 1 seats remain  100 of 100 waitlist seats remain r, Tianxiang Shi  Primary  r,
